NumLayers,ParamLayers,HiddenActivation,OutputActivation,Optimizer,Loss,TotalParams,BestEpoch,BestScore
0,(),linear,linear,SGD,mae,14,100,-0.1702
0,(),linear,linear,SGD,mse,14,100,0.6321
0,(),linear,linear,SGD,mape,14,100,0.2162
0,(),linear,linear,RMSprop,mae,14,100,-2.602
0,(),linear,linear,RMSprop,mse,14,100,-2.6139
0,(),linear,linear,RMSprop,mape,14,100,-2.6292
0,(),linear,linear,adam,mae,14,100,-2.6633
0,(),linear,linear,adam,mape,14,100,-2.7495
0,(),linear,relu,SGD,mape,14,100,0.2162
0,(),linear,relu,RMSprop,mae,14,100,-2.602
0,(),linear,relu,RMSprop,mse,14,100,-2.6139
0,(),linear,relu,RMSprop,mape,14,100,-2.6292
0,(),linear,relu,adam,mae,14,100,-2.6633
0,(),linear,relu,adam,mape,14,100,-2.7495
0,(),linear,elu,SGD,mae,14,100,-0.1702
0,(),linear,elu,SGD,mse,14,100,0.6321
0,(),linear,elu,SGD,mape,14,100,0.2162
0,(),linear,elu,RMSprop,mae,14,100,-2.602
0,(),linear,elu,RMSprop,mse,14,100,-2.6139
0,(),linear,elu,RMSprop,mape,14,100,-2.6292
0,(),linear,elu,adam,mae,14,100,-2.6633
0,(),relu,linear,SGD,mae,14,100,-0.1702
0,(),relu,linear,SGD,mse,14,100,0.6321
0,(),relu,linear,SGD,mape,14,100,0.2162
0,(),relu,linear,RMSprop,mae,14,100,-2.602
0,(),relu,linear,RMSprop,mse,14,100,-2.6139
0,(),relu,linear,RMSprop,mape,14,100,-2.6292
0,(),relu,linear,adam,mse,14,100,-2.7942
0,(),relu,linear,adam,mape,14,100,-2.7495
0,(),relu,relu,SGD,mse,14,100,0.6321
0,(),relu,relu,RMSprop,mae,14,100,-2.602
0,(),relu,relu,RMSprop,mse,14,100,-2.6139
0,(),relu,relu,RMSprop,mape,14,100,-2.6292
0,(),relu,relu,adam,mae,14,100,-2.6633
0,(),relu,relu,adam,mape,14,100,-2.7495
0,(),relu,elu,SGD,mse,14,100,0.6321
0,(),relu,elu,SGD,mape,14,100,0.2162
0,(),relu,elu,adam,mae,14,100,-2.6633
0,(),relu,elu,adam,mse,14,100,-2.7942
0,(),relu,elu,adam,mape,14,100,-2.7495
0,(),elu,linear,SGD,mse,14,100,0.6321
0,(),elu,linear,SGD,mape,14,100,0.2162
0,(),elu,linear,RMSprop,mae,14,100,-2.602
0,(),elu,linear,RMSprop,mse,14,100,-2.6139
0,(),elu,linear,RMSprop,mape,14,100,-2.6292
